	Dataset	Training Type	mean AUROC	mean AUPRC	mean R2
0	Drugmatrix	NEG_RM	0.61201339755	0.103908029416	0.197330323753
2	Drugmatrix	NEG_RM SMA	0.784826391299	0.448352831964	0.425710937642
3	Drugmatrix	NEG_UW	0.702406081925	0.167016205818	0.217711033241
4	Drugmatrix	SEA_SMA	0.785772613125	0.452829342093	0.441095755497
5	Drugmatrix	STD	0.688578882074	0.148963888446	0.19262977699
6	Drugmatrix	STD_SMA	0.783342856894	0.440547874384	0.426859919374
9	Drugmatrix	SMA scrambled	0.484171658195	0.068726276984	0.00205691168724
11	Drugmatrix	STD scrambled	0.553801935755	0.0815875305159	0.0153846335127
12	Test	NEG_RM	0.836223400628	0.970421243804	0.603419284715
14	Test	NEG_RM SMA	0.879909110065	0.979547063561	0.602635013092
15	Test	NEG_UW	0.901838964877	0.983491708752	0.626827019754
16	Test	SEA_SMA	0.907036522932	0.984874552281	0.646155865472
17	Test	STD	0.903641995129	0.983687702978	0.63702781282
18	Test	STD_SMA	0.906447997407	0.98477953367	0.64275177871
21	Test	SMA scrambled	0.470005045662	0.868499537037	0.000875457236126
23	Test	STD scrambled	0.658430095918	0.920040985874	0.0740711619148
24	Time Split	NEG_RM	0.722303367373	0.938519202432	0.235214188282
26	Time Split	NEG_RM SMA	0.709122364045	0.938512879146	0.177380930423
27	Time Split	NEG_UW	0.741793550438	0.944430404302	0.217896296865
28	Time Split	SEA_SMA	0.714975093129	0.940493366649	0.187796007161
29	Time Split	STD	0.738807910757	0.943409589815	0.215246281783
30	Time Split	STD_SMA	0.713258047283	0.940120944125	0.186274443447
33	Time Split	SMA scrambled	0.466389273578	0.854021684982	0.00204220667266
35	Time Split	STD scrambled	0.633950729501	0.905708039837	0.0513211538852
36	Train	NEG_RM	0.822343110385	0.968399224624	0.784191888337
38	Train	NEG_RM SMA	0.912695502136	0.984765644935	0.787532414237
39	Train	NEG_UW	0.969156145896	0.995399587313	0.871249470678
40	Train	SEA_SMA	0.977089441025	0.996524821664	0.906433019301
41	Train	STD	0.98091098642	0.997154583182	0.922408500236
42	Train	STD_SMA	0.974955331025	0.99618993775	0.897129082339
45	Train	SMA scrambled	0.972477624129	0.995826036078	0.861838288809
47	Train	STD scrambled	0.981372887509	0.997259894629	0.921196207588
